Brand,Benchmark Family,Name,Ticker,Dissemination(s),Launch Date,Inception Date,Factsheet
Kaiko,Blue-Chip,Kaiko Eagle Index,EGLX,NYC Fixing,"February 11, 2025","February 11, 2025","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko Eagle Index,EGLXRT,Real-time (5 sec),"February 11, 2025","February 11, 2025","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 5 Index,KT5,"Real-time (5 sec), NYC, LDN, SGP","October 17, 2023","March 19, 2018","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 10 Index,KT10,"Real-time (5 sec), NYC, LDN, SGP","October 17, 2023","March 18, 2019","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Kaiko 15 Index,KT15,"Real-time (5 sec), NYC, LDN, SGP","October 17, 2023","December 23, 2019","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Blue-Chip%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Vinter 21Shares Crypto Basket Equal Weight Index ,HODLV,LDN Fixing,"September 29, 2021","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/multi-asset_hodlv_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Vinter Valour Digital Asset Basket 10 Index,VDAB10,LDN Fixing,"July 21, 2022","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/VDAB10%20-%20Fact%20Sheet%20-%20multi-asset_vdab10_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Vinter Pando Crypto Basket 6 Index ,PANDO6,17:00 CET Fixing,"July 21, 2022","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/PANDO6%20-%20Fact%20Sheet%20-%20multi-asset_pando6_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Blue-Chip,Virtune Vinter Crypto Top 10 Index,VVT10,17:00 CET Fixing,"March 31, 2023","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/VVT10%20-%20Fact%20Sheet%20-%20multi-asset_vvt10_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Sector & Thematic,Kaiko Tokenization Index,KSTKNZ,"Real-time (5 sec), NYC, LDN, SGP","January 23, 2025","January 3, 2022","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Sector%20&%20Thematic%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
